trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,True,"{'a': 0, 'e': 0}",20,9,18.886346363690304,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,True,"{'a': 0, 'e': 0}",20,11,19.279066753277352,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,True,"{'a': 0, 'e': 0}",20,8,21.308960220741213,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,True,"{'a': 0, 'e': 0}",20,8,18.05163960699613,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,True,"{'a': 0, 'e': 0}",25,14,20.225549509553307,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,True,"{'a': 0, 'e': 0}",30,10,35.68115270587721,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,True,"{'a': 0, 'e': 0}",20,0,32.384138095182436,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
105,True,"{'a': 0, 'e': 0}",20,16,8.396355563153678,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,True,"{'a': 0, 'e': 0}",25,14,21.789916896928894,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,True,"{'a': 0, 'e': 0}",30,8,41.870365686537006,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,True,"{'a': 0, 'e': 0}",30,20,20.379776068239295,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,True,"{'a': 0, 'e': 0}",20,12,16.545570187333837,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,True,"{'a': 0, 'e': 0}",20,11,16.10274718743247,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,True,"{'a': 0, 'e': 0}",25,13,22.625449902894005,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,True,"{'a': 0, 'e': 0}",20,16,10.012105143815397,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,True,"{'a': 0, 'e': 0}",25,16,18.26800472194555,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,True,"{'a': 0, 'e': 0}",20,6,22.892304720047235,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,True,"{'a': 0, 'e': 0}",20,9,22.723075901560954,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,True,"{'a': 0, 'e': 0}",20,13,15.322298490610716,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,True,"{'a': 0, 'e': 0}",20,5,28.914801577535247,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,True,"{'a': 0, 'e': 0}",20,6,25.450645829252103,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,True,"{'a': 0, 'e': 0}",30,19,18.008231890348856,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,True,"{'a': 0, 'e': 0}",20,12,17.950452537400437,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,True,"{'a': 0, 'e': 0}",25,7,30.3308568718399,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,True,"{'a': 0, 'e': 0}",25,19,10.846581001908348,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,True,"{'a': 0, 'e': 0}",20,10,11.9770033544522,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,True,"{'a': 0, 'e': 0}",25,16,16.313344220467577,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,True,"{'a': 0, 'e': 0}",20,14,11.468160247219775,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,True,"{'a': 0, 'e': 0}",20,10,16.01826290436475,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
