trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
501,True,"{'a': 0, 'e': 0}",20,10,18.399473095169075,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
502,True,"{'a': 0, 'e': 0}",25,14,21.926302663277507,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
503,True,"{'a': 0, 'e': 0}",20,8,23.394430825625886,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,True,"{'a': 0, 'e': 0}",20,14,10.491276469676018,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,True,"{'a': 0, 'e': 0}",25,15,19.747896126958047,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
506,True,"{'a': 0, 'e': 0}",20,10,19.167674832617045,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,True,"{'a': 0, 'e': 0}",25,10,26.62192780919126,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,True,"{'a': 0, 'e': 0}",25,17,15.52057637648304,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
509,True,"{'a': 0, 'e': 0}",20,6,25.96127160240407,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
510,True,"{'a': 0, 'e': 0}",25,12,24.803233417428142,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
511,True,"{'a': 0, 'e': 0}",30,17,21.272199940631985,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
512,True,"{'a': 0, 'e': 0}",20,15,10.540984919097147,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
513,True,"{'a': 0, 'e': 0}",25,14,25.49101237854789,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,True,"{'a': 0, 'e': 0}",20,11,17.067200961870792,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,True,"{'a': 0, 'e': 0}",30,10,36.552699157049005,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,True,"{'a': 0, 'e': 0}",20,6,27.7458792159508,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
